report_date,incident number,incident name,start date,incident type,county,latitude,longitude,area,area measurement
8/15/2017,652_41019,Sherwood,8/14/2017,WF,41019,43.1215,-122.2547,77.0,ACRES
6/21/2017,1130_16001,Otr 150,6/20/2017,WF,16001,43.23727,-116.1673,77.0,ACRES
8/14/2017,6024_30003,Peoples Creek,8/12/2017,WF,30003,33.43005,-108.5681,77.0,ACRES
3/9/2017,17034_56015,Sand Hill 2,3/8/2017,WF,56015,42.086999999999996,-104.1044,77.0,ACRES
5/28/2017,20037_32015,Dump,5/27/2017,WF,32015,40.607966999999995,-116.97583300000001,76.9,ACRES
7/16/2017,344_35017,Outlaw,7/15/2017,WF,35017,33.201190000000004,-108.8783,76.6,ACRES
8/3/2017,344_30075,Cache Creek,8/2/2017,WF,30075,45.328666999999996,-105.59833300000001,76.2,ACRES
8/10/2017,663_16085,Whitehawk,8/8/2017,WF,16085,44.34563,-115.5396,76.0,ACRES
8/11/2017,5974_6093,Mary,8/10/2017,WF,6093,41.0754,-123.2226,76.0,ACRES
3/5/2017,20022_28047,Snag,3/4/2017,WF,28047,30.53278,-89.04861,76.0,ACRES
2/7/2017,29_35005,Zubi,2/6/2017,WF,35005,33.20991,-104.3626,75.0,ACRES
7/29/2017,146_41045,Monument Peak,7/28/2017,WF,41045,43.658229999999996,-117.8888,75.0,ACRES
7/20/2017,168_30077,Limburger,7/19/2017,WF,30077,46.44763,-112.49799999999999,75.0,ACRES
3/10/2017,281_8059,South Table Mountain,3/9/2017,WF,8059,39.76228,-105.1801,75.0,ACRES
3/17/2017,326_20085,Thorne,3/16/2017,WF,20085,39.36527,-95.85818,75.0,ACRES
6/23/2017,827_6007,Diaz,6/21/2017,WF,6007,33.281388899999996,-110.8063889,75.0,ACRES
